survived,pclass,sex,age,fare,embarked
0,2,female,13.6,19.24,C
1,2,female,25.7,10.68,C
1,1,female,27.4,13.94,S
1,3,female,51.3,46.05,C
0,3,male,24.0,22.67,S
1,1,male,0.5,10.96,S
0,3,male,,24.12,S
1,3,female,,18.4,S
1,3,male,29.6,159.56,S
0,3,male,27.8,23.83,S
1,2,female,25.2,15.98,S
0,3,male,40.1,47.09,S
1,2,male,7.5,6.66,S
1,2,female,21.8,21.25,S
0,1,female,,66.46,S
0,3,male,,18.73,Q
1,2,female,,7.1,Q
0,2,male,38.4,15.84,S
1,3,female,44.7,48.07,S
0,2,male,28.4,25.17,S
0,2,male,1.5,12.14,C
0,1,male,38.9,13.31,S
0,2,male,5.8,14.36,C
1,2,female,33.3,24.95,S
0,2,male,16.6,44.83,S
1,1,male,12.8,37.77,S
0,3,male,22.8,26.41,S
1,3,female,26.4,9.03,C
1,3,female,20.0,9.05,S
1,3,female,37.2,27.66,S
1,3,male,22.8,8.96,S
1,3,male,42.7,17.54,S
1,3,male,,24.11,S
0,3,male,19.2,10.15,S
1,3,female,16.9,10.86,S
0,3,female,,18.98,S
0,3,male,33.1,27.17,S
0,1,male,,37.97,S
1,1,female,0.5,28.91,S
0,3,male,21.5,20.99,S
0,3,male,,12.84,C
0,2,male,51.1,10.56,S
0,3,male,5.2,14.78,S
0,3,male,8.8,25.69,C
0,3,male,44.5,24.58,S
0,1,male,48.0,5.7,S
0,1,male,18.6,12.54,S
0,3,male,20.2,41.38,S
1,3,male,37.6,21.06,S
1,3,female,0.5,8.58,C
1,3,female,2.9,82.56,Q
1,3,male,25.1,19.74,S
0,2,male,50.7,25.29,S
1,2,female,22.9,25.53,C
0,2,male,,16.11,S
1,3,male,44.9,12.98,S
0,3,female,58.5,71.74,S
0,2,male,,36.67,S
1,3,female,28.8,32.89,S
1,2,male,54.5,28.38,S
1,1,female,,11.0,S
0,1,male,,43.23,S
0,1,male,14.7,12.11,Q
1,3,male,30.4,23.81,S
0,2,male,,7.51,S
1,3,female,15.6,5.9,S
1,3,male,15.2,24.31,S
0,1,male,32.9,12.36,Q
1,1,female,42.9,6.09,Q
1,3,female,27.2,27.78,S
0,2,male,30.0,71.67,S
1,3,male,37.0,46.23,S
1,1,female,15.4,17.21,S
1,3,female,,20.19,S
1,3,female,40.5,34.21,S
1,1,female,,39.38,S
1,2,female,23.7,16.34,S
1,3,male,,20.5,S
0,2,male,39.8,24.06,S
0,2,male,40.5,28.0,S
0,2,female,21.5,18.54,S
0,2,female,23.4,18.69,S
1,3,male,,45.97,S
1,3,male,17.4,41.5,S
1,2,male,23.3,26.75,S
0,3,female,30.3,56.34,C
0,1,male,42.9,15.93,Q
1,1,male,20.5,53.19,S
0,3,male,,27.81,S
0,3,male,2.2,142.97,S
1,1,male,,9.82,S
0,1,male,10.6,13.28,S
1,3,male,26.8,25.82,S
1,3,male,12.4,25.49,S
1,1,male,19.2,64.72,S
1,2,male,18.2,13.45,S
0,3,male,22.8,34.57,S
0,2,female,47.5,40.35,S
1,1,male,,30.65,S
0,1,male,29.2,11.28,S
0,2,male,22.5,46.74,S
1,3,male,22.9,42.0,S
1,3,male,,28.78,S
1,3,male,37.2,22.71,S
1,3,female,16.3,23.0,C
0,3,male,,19.16,S
0,2,male,,29.5,S
0,2,male,32.0,20.46,S
0,3,male,39.7,12.07,C
0,2,male,25.1,10.71,C
1,3,female,54.4,12.79,C
0,3,female,16.7,22.95,S
1,1,male,32.0,19.76,S
1,3,male,28.5,22.86,S
1,1,male,27.6,27.13,S
0,1,male,27.4,13.79,S
1,3,female,,48.39,S
1,2,male,,17.11,S
0,3,male,48.3,15.49,C
1,3,female,29.0,26.83,S
0,3,male,40.4,6.67,S
0,2,male,19.2,12.5,S
0,2,female,,36.18,C
0,2,male,18.3,7.08,Q
1,1,male,44.3,39.27,S
0,3,male,59.9,49.73,Q
1,2,female,,16.09,C
0,1,male,0.5,23.93,C
1,3,male,21.3,39.31,C
1,2,male,46.2,15.18,S
0,1,male,36.7,33.81,C
1,1,male,32.5,13.43,S
1,3,male,43.1,15.08,S
0,3,male,35.8,12.43,S
0,1,male,46.0,24.67,C
0,3,female,41.9,40.24,Q
1,3,male,50.3,17.98,S
1,3,female,34.0,9.37,Q
1,1,male,41.7,10.49,S
1,1,male,24.7,25.45,S
1,3,female,20.6,60.73,S
1,2,female,52.9,25.44,C
1,3,male,32.0,15.92,S
0,3,female,40.3,31.81,S
1,1,male,30.7,17.4,S
1,3,male,20.8,16.01,S
1,3,female,29.2,11.3,S
0,3,male,49.1,46.76,C
1,2,female,36.8,4.38,S
1,3,male,5.0,32.42,C
1,3,female,26.0,15.21,S
0,3,male,54.0,15.7,Q
0,3,male,26.0,55.44,S
0,3,male,3.8,13.09,S
1,2,male,55.5,13.36,S
0,1,male,,18.57,S
0,1,male,28.0,25.75,S
0,3,male,23.8,15.41,C
0,3,male,,7.81,S
1,3,male,21.4,11.95,S
1,2,female,45.1,43.33,S
1,3,female,36.6,21.01,Q
1,3,female,32.4,26.33,S
0,2,male,31.0,17.17,S
0,3,female,26.6,13.52,S
1,3,male,43.6,54.96,S
0,3,male,,17.94,S
1,1,male,6.3,15.39,S
1,3,female,37.6,38.77,S
0,3,male,37.8,13.02,S
0,3,male,35.7,14.06,S
1,3,female,34.7,20.21,S
0,3,male,24.5,20.09,Q
1,2,male,40.0,23.47,S
1,3,female,28.4,70.46,S
1,3,male,22.2,24.58,S
0,3,male,24.6,4.82,S
1,1,female,57.3,24.43,C
1,2,female,4.7,20.55,S
0,3,male,36.0,20.62,S
1,2,male,5.5,23.28,S
0,3,male,,19.74,S
0,2,male,22.9,19.46,Q
0,3,male,0.5,29.02,S
1,3,male,34.4,14.51,S
0,2,female,23.7,11.37,C
0,3,female,,123.26,C
1,2,male,40.8,13.07,S
0,3,male,49.1,21.33,S
0,3,male,49.9,8.19,S
0,3,female,,21.54,C
1,1,male,,11.47,S
0,1,male,47.6,15.4,S
0,3,male,52.6,37.6,C
0,3,male,,26.66,S
0,3,female,,28.25,S
1,1,female,31.8,6.94,S
0,2,male,,60.47,C
0,3,female,3.7,9.82,S
1,1,female,35.6,50.26,S
1,2,male,60.8,37.07,S
0,3,male,38.0,28.4,C
0,1,male,,12.03,C
1,3,female,31.6,22.0,S
0,2,male,28.0,15.14,S
0,3,male,34.3,20.44,Q
0,3,male,17.6,17.29,C
0,3,female,15.5,5.91,S
1,1,male,46.7,39.37,S
1,3,female,48.2,19.13,C
1,3,male,15.1,15.02,Q
1,2,female,42.6,14.35,S
0,1,male,,24.91,S
0,1,male,33.8,11.75,S
0,3,female,35.4,5.19,C
1,3,female,42.9,25.64,S
1,3,male,30.2,27.43,S
1,3,male,48.7,17.82,S
0,3,female,33.3,10.09,C
0,3,female,37.7,21.19,C
1,2,male,17.3,8.34,Q
1,3,male,59.2,10.84,S
1,1,female,35.6,12.8,C
1,3,female,39.0,33.33,C
1,3,female,6.5,16.16,S
1,2,male,17.5,15.35,S
0,3,male,46.3,64.9,Q
1,1,female,,24.82,S
1,3,female,2.2,24.62,S
1,3,female,43.5,16.09,S
0,3,male,21.4,14.04,S
0,2,male,48.8,5.41,S
1,1,female,27.8,35.92,C
1,1,male,31.9,26.28,S
1,1,female,45.5,18.04,C
0,1,male,,18.5,S
0,1,female,15.1,31.24,S
1,3,female,26.2,7.9,C
0,1,male,40.6,14.1,S
0,1,male,10.4,10.16,S
0,3,male,5.6,58.14,C
1,3,male,40.5,33.97,S
1,3,male,20.6,5.36,S
1,3,male,,8.1,S
0,3,female,3.0,18.55,Q
0,3,male,19.5,15.13,S
0,3,male,28.9,9.07,S
0,3,male,42.0,64.51,Q
1,2,male,18.2,24.23,S
1,2,male,52.2,26.71,S
0,3,male,19.4,13.26,S
1,1,female,19.4,30.98,S
0,3,male,50.5,15.99,S
0,2,female,32.0,16.95,S
0,1,male,21.3,28.98,S
0,2,male,26.8,7.56,S
1,3,female,47.9,52.36,S
0,2,female,,22.41,S
0,3,male,,43.32,S
0,3,male,28.4,10.54,S
1,1,male,30.3,11.54,C
1,3,male,15.2,10.0,S
1,2,male,28.2,23.34,S
1,1,male,29.1,20.9,S
1,3,male,45.0,15.2,C
0,3,male,,10.93,S
1,2,female,24.4,9.39,C
1,3,female,26.0,19.51,S
0,2,male,38.3,15.19,S
1,3,male,,13.31,C
0,3,male,,50.82,S
1,3,male,27.8,19.12,S
1,3,female,,43.04,Q
1,1,female,15.6,14.59,S
1,3,female,49.3,23.26,S
1,3,female,26.8,19.43,S
0,3,female,52.0,7.25,S
1,1,female,21.8,47.32,C
0,2,male,33.1,18.52,S
0,2,male,62.5,31.43,Q
0,1,male,14.2,12.79,S
0,1,male,,18.19,Q
1,2,male,47.0,11.94,C
0,3,female,17.4,42.17,Q
0,1,male,28.7,24.21,S
1,3,male,20.8,25.03,S
0,3,male,32.8,45.37,S
0,3,male,15.7,40.2,S
1,3,male,26.5,31.79,S
1,3,female,35.3,8.56,C
0,3,male,14.9,13.23,S
1,3,female,19.2,11.0,C
0,3,male,24.1,31.08,S
0,3,male,,22.25,Q
0,3,male,,8.72,S
1,3,female,30.7,17.93,S
1,1,female,23.4,8.2,C
1,3,male,25.2,19.46,C
0,3,female,28.7,7.44,C
0,3,male,,27.59,Q
1,3,female,38.7,25.2,S
0,3,male,49.1,63.1,C
0,3,male,22.5,33.41,S
1,3,female,35.8,15.58,S
1,1,male,25.6,32.81,S
0,1,male,,8.68,S
1,1,male,50.9,11.27,S
1,1,male,,24.53,C
1,2,female,,5.5,S
0,3,female,35.4,19.64,Q
1,3,female,46.3,10.89,S
0,1,male,25.9,21.34,S
0,3,male,42.9,10.52,S
1,1,male,19.3,25.91,S
1,3,male,8.2,20.32,S
0,1,male,31.0,46.54,S
0,3,female,4.4,20.17,S
1,2,female,25.6,12.66,S
0,3,female,47.0,17.32,C
0,2,male,,8.97,S
0,3,male,,25.63,C
1,1,male,14.6,28.61,C
1,3,male,28.1,88.37,S
1,3,male,,13.83,S
1,3,male,48.6,17.1,S
0,3,male,42.4,14.22,S
0,3,female,35.9,22.81,S
0,1,male,31.0,25.25,Q
1,2,female,34.5,19.45,S
0,2,male,16.9,38.54,S
1,2,male,41.0,13.87,S
0,3,male,,36.3,S
1,3,male,40.7,27.75,S
0,3,male,45.6,19.94,S
1,3,male,32.0,16.63,Q
1,3,female,26.5,86.14,S
0,3,male,34.6,12.3,S
0,3,male,0.5,24.02,S
1,1,male,33.2,12.81,S
0,3,male,27.4,58.64,C
0,3,male,28.3,34.2,Q
1,2,male,38.9,13.37,C
1,2,female,28.0,27.32,S
0,3,female,,23.44,S
1,3,female,27.0,14.73,C
1,3,male,,31.66,S
1,3,male,30.6,25.37,S
1,2,female,31.3,22.86,S
0,2,male,,19.59,S
1,3,male,,26.01,C
0,3,male,31.5,23.05,S
1,3,female,47.1,20.81,Q
1,3,male,4.7,13.67,S
1,2,female,31.5,55.49,S
0,3,female,,10.69,S
1,2,male,23.8,25.96,S
1,2,female,,16.57,S
0,1,male,26.6,57.73,S
0,1,male,54.8,11.68,S
0,3,male,11.3,12.92,C
1,2,female,12.6,11.22,S
1,1,male,,24.39,S
1,3,male,,8.81,S
0,3,male,22.5,15.07,C
0,1,male,28.6,5.52,S
0,2,male,23.4,23.2,S
1,1,male,15.8,14.88,S
0,3,male,25.7,8.22,S
1,2,female,,38.53,S
1,1,male,,9.17,S
1,1,female,17.1,32.4,Q
1,3,male,38.1,13.19,S
0,1,female,17.4,52.51,S
1,3,male,4.1,31.49,S
1,1,male,43.3,10.97,S
1,3,female,45.2,11.59,S
0,2,male,43.6,28.88,S
0,2,male,22.4,17.16,S
1,1,female,26.7,18.14,S
1,3,female,39.5,43.09,S
0,3,male,34.5,12.82,Q
1,1,male,23.5,21.22,S
1,1,female,6.3,35.62,S
0,3,female,30.6,32.64,Q
1,3,female,44.1,18.25,C
1,1,male,12.2,16.89,S
1,1,female,37.9,7.08,C
1,3,male,33.6,10.66,S
1,3,female,39.5,24.31,S
1,3,male,41.2,18.49,C
1,3,female,19.3,21.01,C
1,3,male,6.4,37.47,S
1,2,male,21.5,9.85,S
0,3,female,41.4,17.43,S
0,2,male,21.4,22.49,S
1,1,female,19.3,13.16,Q
0,1,male,3.5,47.41,S
0,2,male,53.5,34.64,S
1,3,male,,23.9,S
1,1,male,39.8,58.94,S
0,2,male,42.5,8.17,S
1,3,male,37.1,19.99,Q
0,3,male,25.6,25.02,S
0,3,female,26.7,11.6,S
0,3,female,23.0,24.06,S
1,3,female,,10.34,S
1,1,male,36.8,30.4,S
0,3,male,22.5,37.89,S
0,3,male,,23.65,S
0,2,female,14.8,6.61,S
0,1,female,50.1,11.25,C
1,1,male,19.7,28.19,S
0,3,female,36.0,20.34,S
0,2,male,43.9,3.99,S
0,1,male,,42.34,S
1,3,male,30.3,21.8,Q
1,3,male,29.2,12.29,S
1,1,female,28.2,36.49,S
0,3,female,20.9,13.38,S
0,1,male,22.7,13.29,Q
1,3,male,49.7,24.9,S
1,3,female,27.5,58.48,S
1,1,female,18.0,53.2,S
0,3,male,,24.92,S
1,3,male,44.4,26.51,C
1,3,male,38.5,32.29,S
0,3,male,,9.45,S
1,3,female,25.4,29.56,S
1,1,male,,12.93,C
1,3,female,20.0,24.31,S
1,3,male,25.4,17.52,S
1,3,male,42.6,27.13,Q
1,2,female,41.2,21.56,S
1,3,male,15.3,3.18,C
0,1,male,17.0,22.36,C
0,3,female,30.5,29.53,S
0,1,female,53.2,26.25,S
1,3,male,2.2,18.89,S
0,3,male,32.9,53.8,S
0,3,male,9.7,24.21,S
0,3,male,20.1,26.12,Q
0,2,male,,37.59,S
0,3,male,23.1,24.97,S
1,3,female,21.5,11.72,S
1,2,female,,4.65,S
1,1,female,21.5,15.09,S
1,1,female,8.5,31.71,C
0,3,female,39.9,16.25,S
1,3,female,39.5,32.48,S
1,3,female,40.8,21.96,S
1,1,male,7.4,43.5,S
0,3,male,,16.83,Q
0,2,male,38.5,26.59,S
1,3,male,14.6,27.21,S
0,2,male,29.1,49.45,S
0,3,male,27.4,7.21,S
0,3,male,,15.26,S
1,2,male,,33.42,C
0,3,male,5.7,50.78,Q
1,3,female,63.9,23.2,S
1,1,female,16.2,16.85,S
1,1,male,42.7,31.64,S
1,3,male,42.6,33.83,S
1,2,male,15.1,16.19,S
1,1,female,,24.49,S
0,3,female,27.5,40.79,S
1,3,male,36.8,62.44,S
0,2,female,,31.36,S
1,2,male,,20.62,S
0,3,male,,19.44,S
0,3,female,26.6,28.06,S
0,3,male,44.3,18.74,S
1,2,male,37.1,22.51,C
0,3,male,39.2,10.65,S
1,3,male,19.7,43.74,S
1,1,female,,10.13,S
1,3,female,21.1,15.5,S
1,3,male,,21.3,S
1,1,male,40.0,66.33,S
1,1,female,42.7,15.59,S
0,3,male,26.8,13.47,S
0,1,female,49.0,14.43,C
0,2,female,48.2,54.34,C
0,1,male,32.4,3.72,S
1,2,female,17.5,11.01,S
1,2,male,51.1,103.42,S
1,3,male,28.1,28.63,S
1,2,male,,10.34,S
0,1,male,24.2,19.59,S
1,3,female,16.5,20.92,S
1,2,female,8.4,33.37,S
1,3,female,37.9,60.56,S
1,1,female,18.0,25.36,S
1,1,male,71.8,14.53,S
0,2,male,13.8,32.21,S
0,3,female,11.4,13.21,S
1,2,female,36.1,10.8,C
0,3,male,50.4,6.99,C
0,2,male,29.9,7.85,S
1,3,male,37.0,11.73,S
0,3,male,3.2,9.91,S
1,1,female,,24.24,S
0,3,male,14.0,9.78,S
1,2,female,2.5,3.05,S
0,2,female,30.6,10.74,S
0,1,female,0.5,15.13,C
1,3,male,10.5,13.97,S
1,3,male,21.5,49.98,S
1,1,female,17.4,13.9,S
0,3,female,34.5,34.07,S
0,3,male,33.3,19.86,S
1,2,female,41.5,19.58,Q
0,3,male,39.5,12.17,C
1,3,female,45.0,19.39,S
0,3,male,29.0,12.69,C
0,3,male,33.2,22.24,S
0,1,male,36.2,17.43,S
1,2,male,31.0,11.4,S
1,3,male,23.4,36.42,S
1,1,male,24.3,25.95,S
0,2,male,17.6,15.35,S
1,3,female,34.9,21.92,S
0,1,male,27.7,19.1,C
0,3,female,,11.93,S
0,3,female,19.7,20.95,C
1,2,male,,13.84,S
0,3,male,42.7,11.39,C
1,3,female,30.1,7.59,S
1,3,female,16.9,16.2,S
1,1,male,40.3,28.22,S
1,1,female,21.2,13.24,C
0,3,male,9.3,91.14,S
0,2,male,43.3,34.17,S
0,3,female,21.5,43.93,C
1,1,male,23.3,32.37,S
0,2,female,29.6,61.05,C
0,3,male,,12.53,S
1,3,female,,4.32,S
1,3,male,12.2,15.37,S
0,2,male,36.6,28.08,S
1,3,male,,22.0,S
0,3,male,55.4,23.7,S
1,2,female,,44.37,S
1,2,male,0.5,25.26,C
0,3,male,34.0,32.44,C
0,2,male,56.2,11.43,S
0,3,male,51.1,10.41,S
0,3,female,54.6,52.9,S
0,1,male,14.7,21.34,C
1,2,female,,13.82,C
1,1,male,18.9,13.83,S
1,2,female,32.1,13.61,S
1,1,male,11.2,13.13,C
1,3,male,20.0,9.3,C
1,1,female,,8.16,S
0,3,female,41.6,17.87,C
1,2,female,40.2,14.07,S
0,2,male,32.9,39.03,S
0,2,male,10.1,23.95,C
1,3,female,24.6,23.55,S
1,3,male,18.6,12.86,S
1,2,female,41.2,18.68,C
1,3,male,,24.94,C
0,3,male,,30.87,S
1,1,female,,18.99,S
1,3,female,0.5,38.38,C
1,2,male,4.3,20.18,S
0,1,male,48.9,32.32,Q
0,3,male,23.4,14.97,S
1,1,male,18.5,6.77,S
1,1,male,52.0,23.59,S
1,3,male,46.7,31.04,C
1,1,female,29.3,28.37,Q
1,3,female,24.9,25.88,S
1,3,male,27.2,16.29,S
0,3,male,32.2,12.38,C
0,3,male,51.4,27.97,S
0,3,male,34.9,25.94,S
0,3,male,39.2,14.35,C
1,2,male,45.4,39.08,C
1,1,female,12.6,11.83,C
0,3,male,39.6,14.15,S
0,3,male,24.9,53.62,S
0,1,male,0.5,33.82,C
0,3,female,0.5,16.2,S
1,1,male,14.7,23.87,S
0,3,male,36.4,22.04,C
1,2,female,30.6,3.87,S
1,1,male,31.6,11.66,C
1,1,male,56.3,19.48,S
1,2,female,11.2,16.22,Q
0,2,male,28.6,23.3,S
0,1,male,,39.55,S
0,2,male,18.7,16.56,Q
1,1,male,29.4,10.65,S
1,2,female,6.6,24.41,S
0,2,male,48.7,16.51,S
1,2,male,,18.29,C
1,2,male,57.4,16.86,C
0,1,male,28.5,77.1,S
0,1,male,43.4,5.24,S
0,1,male,28.3,15.91,S
1,3,female,28.6,20.04,Q
1,3,male,,12.57,Q
1,3,male,,34.46,Q
1,3,male,,32.72,S
0,3,male,,19.52,S
1,2,male,27.2,17.07,C
0,3,male,,18.78,C
0,3,male,61.2,18.86,S
0,3,female,27.7,19.16,S
0,3,female,,17.94,S
0,2,male,26.3,23.37,S
1,3,male,32.6,31.56,S
0,3,male,10.5,9.6,S
1,2,male,22.7,10.69,S
0,3,male,31.9,7.03,Q
0,1,female,51.2,33.78,C
1,3,female,,23.34,Q
1,3,female,48.4,27.2,S
1,1,male,38.0,8.52,S
1,3,female,51.8,58.61,S
0,1,male,,13.94,S
1,3,male,62.5,22.22,S
0,3,male,22.2,33.54,C
1,3,female,,11.11,C
1,3,male,12.1,14.47,C
1,1,female,61.6,22.37,S
0,2,male,40.5,111.55,S
1,2,female,,24.06,S
0,1,male,46.5,52.66,S
1,2,male,,41.41,S
0,2,female,56.5,25.05,S
0,2,male,,11.09,C
0,2,male,25.3,37.93,S
0,3,male,,8.18,Q
0,2,male,1.4,52.48,Q
0,3,male,,22.65,S
0,2,male,,4.1,C
0,2,male,39.4,16.37,S
1,3,female,,29.74,C
0,2,male,,17.42,C
0,2,male,23.1,30.85,C
0,3,male,30.7,12.06,C
1,1,male,,9.17,S
0,2,male,21.1,19.24,C
0,3,female,20.2,20.47,S
0,2,female,43.8,16.3,S
1,3,male,34.3,41.95,S
0,2,male,,12.06,C
0,3,male,11.8,24.24,S
0,3,male,50.0,20.92,S
0,3,male,34.6,7.89,C
0,3,female,18.3,9.1,S
1,1,male,26.6,20.23,S
0,3,male,29.2,65.94,S
0,1,male,,28.43,S
1,3,male,10.0,7.13,C
0,3,male,17.2,3.11,S
0,2,male,,31.18,S
0,3,female,,18.96,C
1,1,male,37.0,39.84,S
0,3,male,11.8,11.84,C
1,3,male,,24.78,S
1,1,female,44.3,33.37,C
1,3,male,35.8,15.36,S
1,3,female,30.9,15.55,S
0,1,female,27.7,20.39,S
0,3,male,17.3,27.82,S
1,2,female,,19.91,S
0,3,male,46.6,36.03,C
1,1,female,,15.22,S
0,3,male,,9.05,S
0,3,female,22.1,65.77,S
0,1,male,31.8,13.97,S
1,2,male,,14.28,S
1,3,male,35.8,19.31,C
1,3,female,,20.91,C
0,2,male,41.4,15.93,S
0,1,male,48.9,19.88,S
1,1,female,42.9,19.61,S
1,3,female,15.9,22.31,S
0,3,male,,4.88,S
1,3,male,27.9,62.09,S
0,3,male,22.7,18.39,C
0,3,female,,28.46,S
1,1,male,22.8,8.79,S
1,1,female,22.4,15.14,S
1,3,male,19.6,13.42,S
0,3,male,24.6,48.51,S
0,2,male,45.5,14.13,S
0,2,male,31.8,31.65,C
1,3,female,63.6,13.6,S
1,2,male,31.4,15.31,S
1,1,male,24.9,17.33,S
1,3,female,29.1,43.39,S
0,2,female,32.6,6.46,S
0,3,female,35.1,9.12,S
0,1,male,,6.24,S
1,1,male,17.2,10.46,S
1,3,female,41.0,12.34,C
1,2,male,31.9,7.62,Q
0,3,male,7.0,12.93,S
1,1,female,39.8,6.0,S
0,3,male,46.7,10.9,C
1,3,male,17.0,41.27,Q
1,3,female,,25.59,C
0,1,male,4.8,22.48,S
1,2,male,11.4,11.0,S
0,2,male,43.7,7.99,S
0,3,male,22.5,10.14,C
0,2,male,13.5,19.57,S
1,1,female,32.2,33.82,S
0,2,female,21.7,34.52,S
1,2,male,22.4,29.32,S
1,2,male,39.4,12.9,S
1,1,female,12.7,20.38,S
1,2,male,16.3,16.56,S
0,3,male,31.2,17.8,C
0,2,male,42.6,68.19,S
0,2,female,46.3,6.98,S
0,3,male,19.7,17.45,C
0,3,female,42.1,41.56,S
1,2,male,18.0,8.34,S
0,3,male,54.6,13.65,S
1,3,male,13.1,14.62,S
0,3,male,,17.57,S
0,3,male,19.8,7.71,S
0,3,male,,28.71,S
1,1,male,37.3,29.96,S
0,2,male,14.8,27.25,S
1,3,male,21.7,11.91,S
0,3,male,39.9,21.16,S
1,3,female,,11.71,S
1,1,male,28.0,16.45,S
1,3,female,29.6,73.12,S
1,1,female,39.6,21.27,S
0,3,male,,9.85,C
0,3,female,,22.38,Q
1,3,female,17.6,8.93,S
0,3,male,32.3,9.78,S
1,3,male,46.0,10.75,S
0,3,male,,15.39,S
0,3,male,39.9,35.24,C
0,3,male,33.0,28.42,S
1,3,female,39.5,27.49,Q
1,1,female,19.7,10.39,S
1,3,male,26.9,14.52,S
1,1,female,17.5,23.65,C
0,3,male,11.5,13.78,S
0,3,female,33.7,17.0,C
1,2,male,31.6,26.18,S
1,1,female,,16.29,C
1,2,female,,23.0,S
0,3,male,,52.23,S
1,1,male,36.8,18.12,C
1,1,female,28.4,40.76,S
0,3,male,,28.1,S
0,3,male,18.8,8.33,C
1,1,female,34.2,10.37,S
0,2,male,38.4,12.18,C
1,3,male,19.6,12.03,S
0,3,male,29.7,19.03,S
1,3,male,20.3,29.04,S
1,2,female,21.6,42.65,S
0,2,male,13.3,24.16,Q
1,1,male,46.7,15.37,S
1,3,male,43.9,5.76,S
1,1,female,36.5,20.95,S
0,1,male,,20.4,S
1,3,female,26.4,22.42,S
1,3,female,71.4,71.08,C
1,3,female,25.8,42.28,C
1,3,female,32.6,32.17,C
