date,day,weather,accidents,severity
2025-06-17,Tuesday,clear,13,minor
2025-06-18,Wednesday,clear,14,minor
2025-06-19,Thursday,clear,15,minor
2025-06-20,Friday,clear,15,minor
2025-06-21,Saturday,clear,20,major
2025-06-22,Sunday,clear,17,minor
2025-06-23,Monday,clear,11,minor
2025-06-24,Tuesday,rain,18,minor
2025-06-25,Wednesday,fog,15,minor
2025-06-26,Thursday,clear,16,minor
2025-06-27,Friday,fog,12,minor
2025-06-28,Saturday,rain,20,minor
2025-06-29,Sunday,clear,14,minor
2025-06-30,Monday,clear,13,minor
2025-07-01,Tuesday,clear,12,minor
2025-07-02,Wednesday,clear,13,minor
2025-07-03,Thursday,clear,9,minor
2025-07-04,Friday,clear,14,minor
2025-07-05,Saturday,fog,17,major
2025-07-06,Sunday,clear,15,minor
2025-07-07,Monday,clear,16,major
2025-07-08,Tuesday,storm,18,major
2025-07-09,Wednesday,fog,15,major
2025-07-10,Thursday,rain,16,major
2025-07-11,Friday,rain,16,minor
2025-07-12,Saturday,storm,26,major
2025-07-13,Sunday,clear,15,major
2025-07-14,Monday,rain,15,minor
2025-07-15,Tuesday,clear,16,minor
2025-07-16,Wednesday,clear,11,major
2025-07-17,Thursday,clear,9,minor
2025-07-18,Friday,clear,11,minor
2025-07-19,Saturday,clear,13,minor
2025-07-20,Sunday,clear,11,minor
2025-07-21,Monday,clear,11,minor
2025-07-22,Tuesday,clear,12,minor
2025-07-23,Wednesday,clear,14,minor
2025-07-24,Thursday,rain,17,major
2025-07-25,Friday,clear,13,minor
2025-07-26,Saturday,clear,13,minor
2025-07-27,Sunday,clear,17,minor
2025-07-28,Monday,rain,19,minor
2025-07-29,Tuesday,clear,13,fatal
2025-07-30,Wednesday,clear,13,minor
2025-07-31,Thursday,clear,9,minor
2025-08-01,Friday,fog,16,major
2025-08-02,Saturday,storm,26,minor
2025-08-03,Sunday,rain,20,minor
2025-08-04,Monday,rain,15,minor
2025-08-05,Tuesday,clear,12,minor
2025-08-06,Wednesday,clear,11,major
2025-08-07,Thursday,clear,11,minor
2025-08-08,Friday,clear,13,minor
2025-08-09,Saturday,storm,23,minor
2025-08-10,Sunday,storm,24,major
2025-08-11,Monday,clear,13,minor
2025-08-12,Tuesday,clear,10,minor
2025-08-13,Wednesday,clear,11,minor
2025-08-14,Thursday,clear,11,minor
2025-08-15,Friday,clear,12,minor
2025-08-16,Saturday,clear,19,minor
2025-08-17,Sunday,clear,19,minor
2025-08-18,Monday,clear,14,minor
2025-08-19,Tuesday,clear,12,minor
2025-08-20,Wednesday,rain,13,minor
2025-08-21,Thursday,clear,12,minor
2025-08-22,Friday,clear,10,minor
2025-08-23,Saturday,clear,18,major
2025-08-24,Sunday,rain,16,minor
2025-08-25,Monday,clear,13,minor
2025-08-26,Tuesday,rain,14,minor
2025-08-27,Wednesday,clear,12,minor
2025-08-28,Thursday,clear,13,minor
2025-08-29,Friday,clear,14,major
2025-08-30,Saturday,fog,17,minor
2025-08-31,Sunday,storm,24,minor
2025-09-01,Monday,rain,15,minor
2025-09-02,Tuesday,fog,14,minor
2025-09-03,Wednesday,clear,14,minor
2025-09-04,Thursday,clear,13,minor
2025-09-05,Friday,clear,11,minor
2025-09-06,Saturday,clear,14,major
2025-09-07,Sunday,clear,17,minor
2025-09-08,Monday,rain,14,minor
2025-09-09,Tuesday,rain,14,major
2025-09-10,Wednesday,rain,17,minor
2025-09-11,Thursday,clear,11,minor
2025-09-12,Friday,fog,11,minor
2025-09-13,Saturday,rain,22,major
2025-09-14,Sunday,rain,17,minor
2025-09-15,Monday,clear,12,minor
2025-09-16,Tuesday,clear,11,minor
2025-09-17,Wednesday,rain,15,minor
2025-09-18,Thursday,storm,17,minor
2025-09-19,Friday,clear,13,minor
2025-09-20,Saturday,clear,15,major
2025-09-21,Sunday,clear,17,minor
2025-09-22,Monday,clear,11,minor
2025-09-23,Tuesday,rain,20,minor
2025-09-24,Wednesday,clear,8,minor
2025-09-25,Thursday,clear,9,minor
2025-09-26,Friday,rain,20,minor
2025-09-27,Saturday,clear,16,minor
2025-09-28,Sunday,clear,16,major
2025-09-29,Monday,clear,13,minor
2025-09-30,Tuesday,clear,13,minor
2025-10-01,Wednesday,storm,20,major
2025-10-02,Thursday,rain,14,minor
2025-10-03,Friday,storm,21,major
2025-10-04,Saturday,clear,16,major
2025-10-05,Sunday,rain,22,minor
2025-10-06,Monday,clear,16,minor
2025-10-07,Tuesday,rain,17,minor
2025-10-08,Wednesday,clear,10,major
2025-10-09,Thursday,clear,16,minor
2025-10-10,Friday,clear,10,major
2025-10-11,Saturday,rain,20,minor
2025-10-12,Sunday,rain,18,minor
2025-10-13,Monday,clear,11,minor
2025-10-14,Tuesday,clear,14,major
2025-10-15,Wednesday,rain,16,minor
2025-10-16,Thursday,clear,13,minor
2025-10-17,Friday,clear,10,major
2025-10-18,Saturday,rain,19,minor
2025-10-19,Sunday,clear,13,minor
2025-10-20,Monday,rain,16,major
2025-10-21,Tuesday,clear,12,major
2025-10-22,Wednesday,rain,20,minor
2025-10-23,Thursday,clear,11,minor
2025-10-24,Friday,fog,10,minor
2025-10-25,Saturday,clear,18,minor
2025-10-26,Sunday,rain,20,minor
2025-10-27,Monday,rain,16,minor
2025-10-28,Tuesday,clear,11,minor
2025-10-29,Wednesday,clear,10,minor
2025-10-30,Thursday,clear,16,major
2025-10-31,Friday,clear,12,minor
2025-11-01,Saturday,clear,12,minor
2025-11-02,Sunday,clear,16,major
2025-11-03,Monday,clear,14,major
2025-11-04,Tuesday,storm,19,minor
2025-11-05,Wednesday,clear,10,major
2025-11-06,Thursday,clear,10,minor
2025-11-07,Friday,clear,10,minor
2025-11-08,Saturday,clear,18,minor
2025-11-09,Sunday,clear,15,minor
2025-11-10,Monday,rain,13,minor
2025-11-11,Tuesday,clear,13,minor
2025-11-12,Wednesday,clear,12,major
2025-11-13,Thursday,clear,11,minor
2025-11-14,Friday,clear,10,minor
2025-11-15,Saturday,rain,17,minor
2025-11-16,Sunday,clear,17,minor
2025-11-17,Monday,clear,12,major
2025-11-18,Tuesday,clear,13,minor
2025-11-19,Wednesday,clear,12,major
2025-11-20,Thursday,clear,13,minor
2025-11-21,Friday,clear,11,minor
2025-11-22,Saturday,fog,17,minor
2025-11-23,Sunday,clear,17,minor
2025-11-24,Monday,clear,15,major
2025-11-25,Tuesday,rain,14,minor
2025-11-26,Wednesday,clear,12,minor
2025-11-27,Thursday,clear,14,minor
2025-11-28,Friday,rain,20,minor
2025-11-29,Saturday,rain,23,minor
2025-11-30,Sunday,fog,15,minor
2025-12-01,Monday,rain,19,minor
2025-12-02,Tuesday,clear,12,minor
2025-12-03,Wednesday,fog,16,major
2025-12-04,Thursday,clear,14,minor
2025-12-05,Friday,clear,9,minor
2025-12-06,Saturday,rain,20,major
2025-12-07,Sunday,rain,21,major
2025-12-08,Monday,fog,14,minor
2025-12-09,Tuesday,clear,12,major
2025-12-10,Wednesday,rain,13,major
2025-12-11,Thursday,clear,13,minor
2025-12-12,Friday,rain,16,minor
2025-12-13,Saturday,rain,17,minor
2025-12-14,Sunday,clear,14,minor
2025-12-15,Monday,rain,16,major
2025-12-16,Tuesday,clear,11,minor
2025-12-17,Wednesday,clear,12,minor
2025-12-18,Thursday,storm,16,major
2025-12-19,Friday,clear,15,minor
2025-12-20,Saturday,clear,15,minor
2025-12-21,Sunday,clear,13,major
2025-12-22,Monday,clear,7,minor
2025-12-23,Tuesday,clear,14,minor
2025-12-24,Wednesday,clear,13,minor
2025-12-25,Thursday,clear,12,major
2025-12-26,Friday,clear,14,minor
2025-12-27,Saturday,clear,17,minor
2025-12-28,Sunday,clear,15,minor
2025-12-29,Monday,clear,11,major
2025-12-30,Tuesday,fog,13,minor
2025-12-31,Wednesday,clear,13,minor
