age,balance,job,housing,loan,subscribed
25,1965,management,no,yes,0
48,-1120,retired,no,no,1
34,376,student,no,no,0
68,755,management,no,no,1
46,2684,blue-collar,no,yes,0
55,-394,blue-collar,yes,no,1
22,904,retired,no,no,0
53,1178,retired,yes,no,0
23,604,technician,yes,no,0
36,3123,technician,yes,yes,0
29,2783,blue-collar,no,no,0
18,3833,blue-collar,no,no,0
48,838,retired,yes,no,0
30,3905,admin.,yes,no,0
44,-1228,technician,yes,no,0
57,-1277,retired,yes,no,0
27,-928,services,yes,no,0
54,1518,technician,no,yes,0
33,3905,blue-collar,yes,no,1
35,296,admin.,yes,no,0
48,547,blue-collar,yes,no,0
50,1068,admin.,yes,no,0
52,2646,blue-collar,no,no,0
28,545,blue-collar,yes,no,0
48,433,blue-collar,yes,no,0
31,-1191,admin.,no,no,0
32,357,unemployed,yes,yes,0
67,3855,blue-collar,no,no,1
23,1682,technician,no,no,0
39,20,retired,no,no,0
40,3972,admin.,no,no,0
30,330,technician,yes,no,0
58,4340,student,yes,no,0
43,4307,services,yes,no,0
55,1612,blue-collar,yes,no,0
38,-1497,management,yes,no,0
64,6079,management,yes,no,0
55,2275,technician,yes,no,0
35,852,admin.,yes,no,0
68,3412,admin.,no,no,0
62,2905,student,yes,no,0
48,4122,blue-collar,yes,yes,0
18,175,blue-collar,yes,no,0
48,2137,technician,no,no,0
53,-872,retired,yes,no,0
36,2833,admin.,no,no,0
25,1454,admin.,yes,no,0
47,2062,technician,yes,yes,0
59,1207,management,no,no,0
34,998,technician,yes,no,0
41,-236,retired,yes,no,0
18,3081,admin.,yes,no,0
54,4479,technician,yes,no,1
63,387,technician,yes,no,0
58,2607,technician,yes,no,0
40,2364,technician,yes,yes,0
20,1516,student,no,no,0
43,-1553,blue-collar,yes,no,0
66,-1103,management,yes,no,0
22,-62,blue-collar,no,no,0
29,-2000,services,yes,no,0
61,4316,technician,no,no,1
47,2235,services,yes,no,0
26,1440,admin.,no,no,0
19,-2000,unemployed,no,no,0
39,-2000,retired,yes,no,0
48,1495,student,no,no,0
61,5441,retired,no,no,1
63,103,blue-collar,no,no,0
41,3228,technician,yes,no,0
39,540,blue-collar,yes,no,0
66,1610,retired,yes,no,0
58,3929,blue-collar,no,no,0
28,808,blue-collar,yes,no,0
53,120,management,yes,no,0
55,4336,admin.,no,no,0
30,1591,management,yes,no,0
68,3682,blue-collar,no,no,1
33,130,management,yes,no,0
46,4313,retired,no,no,0
43,2047,services,yes,no,0
53,2370,blue-collar,yes,no,0
64,1763,admin.,yes,no,1
38,489,admin.,yes,no,0
37,1497,admin.,yes,no,0
57,615,services,yes,yes,0
67,3419,technician,no,no,1
65,1094,blue-collar,yes,no,1
57,-1493,blue-collar,yes,no,0
54,-1859,retired,yes,no,0
57,-1953,admin.,yes,no,0
66,2736,blue-collar,no,no,0
18,-803,technician,yes,no,0
48,2100,admin.,no,no,0
19,1773,retired,no,no,0
48,1371,admin.,no,no,1
38,2377,management,no,no,0
33,1817,services,yes,no,0
64,-2000,student,no,no,0
54,853,management,no,no,0
47,2350,management,no,no,0
63,4781,technician,yes,no,1
23,4873,technician,yes,no,0
51,-1226,management,no,no,0
26,801,services,yes,no,1
30,-1632,technician,no,no,1
27,4540,blue-collar,yes,no,0
46,3526,blue-collar,yes,no,0
50,2201,technician,yes,no,0
57,1832,admin.,yes,no,1
40,4261,technician,yes,no,0
66,3923,admin.,no,yes,0
37,3816,services,no,no,0
26,2413,management,no,no,0
19,802,services,no,no,0
24,3034,management,no,no,0
41,3132,admin.,yes,no,0
39,1119,admin.,no,no,0
62,798,management,no,no,0
24,3767,student,no,no,0
31,4828,management,yes,no,0
68,1,management,no,no,0
19,973,management,yes,no,0
40,2202,management,yes,no,1
28,2473,management,no,no,0
45,455,management,no,no,0
68,5267,admin.,yes,no,0
29,2344,admin.,yes,no,0
37,2563,technician,no,no,1
41,5018,services,yes,no,0
59,602,management,yes,no,1
69,1323,blue-collar,no,no,0
23,-1007,blue-collar,no,no,0
43,1155,student,yes,yes,0
57,-1478,blue-collar,yes,no,0
18,2996,student,yes,yes,0
59,2340,blue-collar,yes,no,0
30,946,technician,no,no,0
44,1299,technician,no,no,0
68,3023,blue-collar,yes,no,1
51,-772,admin.,yes,no,0
69,1908,blue-collar,yes,no,0
49,2899,blue-collar,yes,no,0
28,-2000,blue-collar,yes,no,0
54,2870,student,yes,no,1
49,-1848,admin.,no,yes,0
34,1265,technician,yes,no,0
21,-827,admin.,no,no,0
51,4362,retired,yes,no,1
48,-814,student,no,yes,0
58,-1800,unemployed,no,no,0
24,1767,retired,yes,yes,0
46,673,blue-collar,yes,no,0
60,-1509,management,no,no,0
64,2552,blue-collar,yes,no,0
66,-2000,retired,yes,no,0
29,-572,technician,yes,no,0
26,350,technician,no,no,0
47,3104,retired,yes,no,0
42,4091,student,yes,no,0
30,3706,unemployed,yes,no,0
23,1193,admin.,no,no,0
25,-2000,blue-collar,yes,no,0
35,2282,blue-collar,no,no,0
56,4441,technician,no,no,1
21,3968,technician,yes,yes,0
23,2426,blue-collar,yes,no,0
31,-879,student,no,no,1
63,449,blue-collar,no,no,0
69,5368,management,yes,no,0
40,-1333,retired,yes,no,0
20,-796,services,yes,yes,0
18,3385,technician,yes,no,0
62,638,blue-collar,yes,no,0
41,-864,blue-collar,yes,no,0
22,4556,management,yes,yes,0
61,2422,technician,no,no,0
45,736,admin.,no,no,0
36,-792,unemployed,no,no,0
41,5595,management,no,no,0
29,1451,student,no,no,1
66,4295,technician,yes,yes,0
58,3287,unemployed,no,yes,0
28,458,blue-collar,yes,yes,0
56,474,blue-collar,yes,no,0
27,4393,retired,no,no,0
41,4425,retired,no,no,0
56,-2000,technician,yes,yes,0
19,2600,blue-collar,no,no,1
55,1258,blue-collar,yes,no,0
29,-567,management,yes,no,0
54,2023,student,yes,no,0
43,-1199,technician,yes,no,0
19,567,admin.,no,no,0
57,-97,management,yes,no,0
31,500,management,yes,no,0
67,1357,technician,no,no,0
61,-531,services,yes,no,0
28,4646,unemployed,yes,no,0
49,2487,blue-collar,yes,no,0
36,5089,services,yes,no,0
49,1180,services,yes,no,0
46,402,services,no,no,0
33,5017,retired,no,no,1
51,344,services,yes,no,0
31,1143,technician,yes,no,0
65,2940,blue-collar,yes,no,0
67,-975,management,no,no,0
26,2923,blue-collar,yes,no,0
55,2667,admin.,yes,no,0
66,4039,technician,no,no,1
24,3280,services,no,no,0
56,4100,unemployed,yes,no,1
66,1279,management,yes,no,0
29,-225,student,yes,no,0
48,5720,technician,no,no,1
59,-1553,technician,yes,no,0
35,-1353,unemployed,yes,no,0
30,2630,technician,no,no,0
38,4750,student,yes,no,0
35,1879,services,yes,yes,0
55,3499,blue-collar,no,yes,0
37,-2000,services,yes,no,0
37,501,blue-collar,no,yes,0
67,-2000,admin.,no,yes,0
48,3061,blue-collar,yes,no,0
66,-1594,blue-collar,no,no,0
54,-1056,technician,no,no,0
64,2528,retired,no,no,0
28,3624,technician,no,no,0
66,1182,student,yes,yes,0
67,2640,services,yes,no,0
20,2576,admin.,no,no,0
36,1069,blue-collar,yes,no,0
39,-689,retired,yes,no,0
39,2630,services,yes,no,0
58,2726,retired,yes,no,0
54,3288,blue-collar,no,no,0
29,2124,management,no,no,0
49,-837,management,no,no,0
68,2881,unemployed,yes,no,0
40,1497,admin.,yes,no,0
66,535,unemployed,no,no,0
51,911,technician,yes,no,1
66,119,student,no,yes,0
64,3278,services,no,no,0
18,-1336,services,yes,no,1
59,-487,technician,yes,no,0
27,842,student,no,no,0
60,4728,blue-collar,yes,no,0
60,3609,technician,no,yes,0
31,-1782,services,no,no,0
21,4203,management,yes,yes,0
39,4199,technician,no,no,0
33,-848,management,yes,no,0
46,-2000,technician,yes,no,0
22,1356,management,no,no,0
20,3745,management,no,no,0
40,4683,management,no,no,1
58,-242,student,no,no,0
34,5004,services,yes,no,1
34,-2000,blue-collar,yes,no,0
26,764,management,yes,no,0
32,666,admin.,yes,no,0
33,3805,blue-collar,yes,yes,0
31,4097,student,yes,yes,0
35,3408,technician,no,no,0
32,-1201,technician,yes,no,0
53,3225,unemployed,no,yes,0
35,2518,blue-collar,no,no,0
57,-1842,admin.,no,no,0
49,-2000,admin.,yes,no,1
51,3576,blue-collar,no,yes,0
48,1140,management,no,no,0
65,-1070,management,yes,yes,0
31,1084,services,yes,no,0
69,2228,blue-collar,yes,yes,0
28,1334,services,no,no,0
25,-1604,admin.,no,no,0
60,5271,management,yes,yes,0
64,3508,services,no,no,1
22,829,admin.,yes,no,0
49,910,student,yes,no,0
44,2219,management,no,no,0
29,-759,blue-collar,no,no,0
45,2145,services,no,no,1
53,-1161,services,yes,no,0
47,1359,blue-collar,yes,no,0
45,-837,blue-collar,yes,no,0
64,-736,management,yes,no,0
29,4791,retired,yes,yes,1
50,1618,services,no,no,0
34,1915,services,no,yes,0
68,-2000,management,yes,no,0
31,306,technician,yes,no,0
63,2422,admin.,yes,no,0
50,1888,technician,yes,yes,0
29,-2000,retired,no,no,0
57,1914,student,yes,no,0
30,2233,retired,no,no,0
31,4068,blue-collar,yes,no,0
35,190,technician,yes,yes,0
53,-2000,services,no,yes,0
38,-494,blue-collar,yes,no,1
47,-694,blue-collar,yes,no,0
46,2973,student,no,no,0
28,-2000,management,yes,no,0
30,603,management,yes,no,0
33,4352,blue-collar,yes,no,0
29,1514,technician,yes,no,0
65,3293,admin.,yes,no,0
37,-1784,blue-collar,yes,yes,0
39,-1704,technician,no,no,0
52,4374,blue-collar,no,no,0
58,1702,unemployed,yes,no,0
53,1707,technician,yes,no,0
46,-736,admin.,yes,no,0
68,1702,admin.,yes,no,0
64,-792,management,yes,no,0
28,3874,blue-collar,no,no,0
26,6956,blue-collar,yes,no,0
38,2468,technician,yes,yes,0
61,230,blue-collar,no,no,0
68,-2000,services,no,no,0
54,-1869,technician,yes,no,0
53,4610,admin.,yes,no,0
30,-558,student,no,no,0
48,758,technician,yes,no,0
27,2811,services,no,yes,0
46,4465,admin.,no,no,0
28,1101,services,yes,no,0
21,691,blue-collar,yes,yes,0
68,1643,technician,yes,no,0
64,245,blue-collar,yes,no,0
53,352,unemployed,yes,yes,0
50,2324,blue-collar,no,no,0
30,1871,retired,no,no,0
47,5763,retired,no,no,0
56,2378,technician,no,no,0
46,3802,blue-collar,no,no,0
32,-643,technician,yes,no,0
38,2550,unemployed,yes,no,0
61,54,services,no,no,0
31,2291,services,no,no,0
67,2877,admin.,yes,no,0
57,1600,student,no,no,0
64,6315,admin.,yes,no,0
44,4356,admin.,yes,yes,0
29,3854,blue-collar,no,no,1
19,3029,technician,yes,no,0
45,5027,retired,yes,no,0
38,-1374,student,no,yes,0
23,4241,blue-collar,no,no,0
66,-482,technician,yes,no,0
68,371,student,no,no,1
37,2623,services,yes,yes,0
52,3966,blue-collar,no,yes,0
39,-807,technician,yes,no,1
43,475,services,no,no,1
50,1695,unemployed,no,no,1
39,1127,management,yes,no,0
59,3208,admin.,yes,no,0
27,8372,management,yes,no,0
52,2339,blue-collar,no,no,0
69,30,retired,no,no,0
62,-1093,technician,no,no,0
